EMPRESA;COD MOVIL;TIPO MOVIL;EVENTO;FALLA REPORTADA;DESCRIPCION CAUSA;ESTADO;INICIO EVENTO;LLEGADA EVENTO;ASIGNADA;ACEPTADA;EN RUTA;ARRIBO;LIBERADA;REPROMESA;PROMESA(min);REPROMESA(min);T.ASIGNACION(min);T.ARRIBO(min);CUMPL.PROMESA;CUMPL.LEGAL;CUMPL.TIEMPO
CAM;V4035;DOMICILIARIA EMERGENCIA;B1830575;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;09-10-2014 10:42;09-10-2014 11:36;09-10-2014 10:51;09-10-2014 11:29;09-10-2014 11:33;09-10-2014 11:36;09-10-2014 11:45;;100;;9;53;Si;Si;No
CAM;V4041;DOMICILIARIA EMERGENCIA;B1830576;5D0289 - Domicilio sin Corriente;Corte programado (excluido 2607);Cerrado;09-10-2014 10:46;09-10-2014 11:05;09-10-2014 10:51;;;;09-10-2014 11:18;;120;;4;4;Si;Si;No
Leonor Soto;V3620;DOMICILIARIA EMERGENCIA;B1830577;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;09-10-2014 10:48;09-10-2014 11:37;09-10-2014 11:07;09-10-2014 11:17;09-10-2014 11:27;09-10-2014 11:37;09-10-2014 12:29;;120;;18;48;Si;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1830580;3S0389 - Sector sin Corriente;Reposicion fuera de plazo;Cerrado;09-10-2014 10:55;09-10-2014 11:10;09-10-2014 10:59;09-10-2014 11:01;09-10-2014 11:02;09-10-2014 11:26;09-10-2014 11:40;;120;;4;15;Si;Si;No
E.L. Soto S.A..;V3615;DOMICILIARIA EMERGENCIA;B1830581;5D0289 - Domicilio sin Corriente;Vehiculo >4.50 m. de altura bota empalme;Cerrado;09-10-2014 10:59;09-10-2014 12:29;09-10-2014 11:23;09-10-2014 11:24;09-10-2014 12:08;09-10-2014 12:29;09-10-2014 13:23;;120;;23;89;Si;Si;No
CAM;V4035;DOMICILIARIA EMERGENCIA;B1830582; - ;Falta de mantenimiento;Cerrado;09-10-2014 11:01;09-10-2014 11:09;09-10-2014 11:06;09-10-2014 11:08;09-10-2014 11:09;09-10-2014 11:09;09-10-2014 11:31;;;;5;8;No;Si;No
CAM;V4654;SERVICIO DE EMERGENCIA RED;B1830583;5D0236 - Domicilio Exceso / Bajo Voltaje;Operacion (maniobra) media tension;Cerrado;09-10-2014 11:12;09-10-2014 11:30;09-10-2014 11:09;09-10-2014 11:10;09-10-2014 11:13;09-10-2014 11:30;09-10-2014 11:35;;120;;-2;18;Si;Si;No
ELS;V4012;MOTO ELECTRICISTA;B1830584;3P1648 - Poste inclinado, socavado, estructura a ;Falta de mantenimiento;Cerrado;09-10-2014 11:04;09-10-2014 11:30;09-10-2014 11:12;;;;09-10-2014 14:01;;100;;8;8;Si;Si;No
CAM;V4608;DOMICILIARIA EMERGENCIA;B1830585;5D0289 - Domicilio sin Corriente;;Anulado;09-10-2014 11:09;;09-10-2014 11:12;;;;09-10-2014 11:30;;120;;3;; ; ; 
Leonor Soto;V5533;SERVICIO DE EMERGENCIA RED;B1830586;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;09-10-2014 11:07;09-10-2014 11:30;09-10-2014 11:11;09-10-2014 11:12;09-10-2014 11:13;09-10-2014 11:44;09-10-2014 12:12;;120;;3;22;Si;Si;No
CAM;V4041;DOMICILIARIA EMERGENCIA;B1830587;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;09-10-2014 11:10;09-10-2014 11:40;09-10-2014 11:18;;;;09-10-2014 12:10;;120;;8;8;Si;Si;No
ELS;V3624;SERVICIO DE EMERGENCIA RED;B1830588;5A0116 - Acometidas Cortadas;Vehiculo >4.50 m. de altura bota empalme;Cerrado;09-10-2014 11:14;09-10-2014 11:48;09-10-2014 11:17;09-10-2014 11:19;09-10-2014 11:20;09-10-2014 11:48;09-10-2014 12:37;;45;;3;33;Si;Si;No
Empresa Azeta;V5564;DOMICILIARIA EMERGENCIA;B1830589;5P2592 - Protecci¢n de empalme suelto, trabado;Otros instalacion de cliente;Cerrado;09-10-2014 11:14;09-10-2014 11:30;09-10-2014 11:17;09-10-2014 11:18;09-10-2014 11:19;09-10-2014 11:30;09-10-2014 12:02;;120;;3;15;Si;Si;No
CAM;V4010;MOTO PRIORIDAD 1;B1830590;5D0289 - Domicilio sin Corriente;Otros corte y reposicion;Cerrado;09-10-2014 11:16;09-10-2014 11:50;09-10-2014 11:19;;;;09-10-2014 12:27;;120;;3;3;Si;Si;No
CAM;V4032;DOMICILIARIA EMERGENCIA;B1830591;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;09-10-2014 11:19;09-10-2014 13:15;09-10-2014 11:39;;;09-10-2014 12:08;09-10-2014 12:32;;120;;20;49;Si;Si;No
ELS;V5540;SERVICIO DE EMERGENCIA RED;B1830592;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;09-10-2014 11:25;09-10-2014 12:00;09-10-2014 11:30;09-10-2014 11:31;09-10-2014 11:38;09-10-2014 12:00;09-10-2014 13:22;;120;;4;34;Si;Si;No
LEONOR SOTO LTDA.;V3602;SERVICIO DE EMERGENCIA RED;B1830593;5D0289 - Domicilio sin Corriente;Disturbios en la zona;Cerrado;09-10-2014 11:29;09-10-2014 12:10;09-10-2014 11:37;09-10-2014 11:39;09-10-2014 11:40;09-10-2014 12:21;09-10-2014 12:57;;120;;8;40;Si;Si;No
CAM;V4041;DOMICILIARIA EMERGENCIA;B1830594;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;09-10-2014 11:26;09-10-2014 12:10;09-10-2014 11:46;;09-10-2014 12:10;09-10-2014 12:10;09-10-2014 13:10;;120;;20;44;Si;Si;No
Leonor Soto;V5533;SERVICIO DE EMERGENCIA RED;B1830595;3L0226 - L¡nea o Acometida Destemplada;Falta de mantenimiento;Cerrado;09-10-2014 11:28;09-10-2014 12:10;09-10-2014 11:33;09-10-2014 11:34;09-10-2014 11:48;09-10-2014 12:08;09-10-2014 13:21;;120;;4;39;Si;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1830596;3P1648 - Poste inclinado, socavado, estructura a ;Choque de vehiculo a poste;Cerrado;09-10-2014 11:31;09-10-2014 11:44;09-10-2014 11:35;09-10-2014 11:36;09-10-2014 11:41;09-10-2014 11:44;09-10-2014 11:57;;100;;4;13;Si;Si;No
CAM;V4036;DOMICILIARIA EMERGENCIA;B1830597;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;09-10-2014 11:34;09-10-2014 13:26;09-10-2014 12:04;09-10-2014 12:05;09-10-2014 12:07;09-10-2014 13:26;09-10-2014 13:41;;120;;29;111;Si;Si;No
CAM;V4036;DOMICILIARIA EMERGENCIA;B1830598;5P2592 - Protecci¢n de empalme suelto, trabado;Otros instalacion de cliente;Cerrado;09-10-2014 11:36;09-10-2014 12:39;09-10-2014 12:05;09-10-2014 12:06;09-10-2014 12:39;09-10-2014 12:39;09-10-2014 13:26;;120;;29;63;Si;Si;No
ELS;V5540;SERVICIO DE EMERGENCIA RED;B1830599;3S0389 - Sector sin Corriente;;Anulado;09-10-2014 11:40;;09-10-2014 11:43;09-10-2014 11:45;;;09-10-2014 12:34;;120;;3;; ; ; 
CAM;V4608;DOMICILIARIA EMERGENCIA;B1830600; - ;Mantenimiento preventivo;Cerrado;09-10-2014 11:38;09-10-2014 13:20;09-10-2014 11:47;09-10-2014 11:58;09-10-2014 12:07;09-10-2014 13:20;09-10-2014 13:50;;;;8;101;No;Si;No
CAM;V4035;DOMICILIARIA EMERGENCIA;B1830601;5A0116 - Acometidas Cortadas;Vehiculo >4.50 m. de altura bota empalme;Cerrado;09-10-2014 11:40;09-10-2014 12:06;09-10-2014 11:45;;09-10-2014 12:06;09-10-2014 12:06;09-10-2014 12:50;;45;;5;26;Si;Si;No
CAM;V4032;DOMICILIARIA EMERGENCIA;B1830602;3L0212 - L¡neas o Acometidas con ramas;Mantenimiento preventivo;Cerrado;09-10-2014 11:44;09-10-2014 13:28;09-10-2014 12:11;09-10-2014 12:48;09-10-2014 12:50;09-10-2014 13:10;09-10-2014 13:37;;100;;27;85;Si;Si;No
ELS;V5536;SERVICIO DE EMERGENCIA RED;B1830603;3L0226 - L¡nea o Acometida Destemplada;Envejecimiento de materiales;Cerrado;09-10-2014 11:45;09-10-2014 13:05;09-10-2014 11:53;09-10-2014 11:57;;;09-10-2014 12:22;;120;;7;7;Si;Si;No
ELS;V5540;SERVICIO DE EMERGENCIA RED;B1830604; - ;;Anulado;09-10-2014 11:48;;09-10-2014 11:57;09-10-2014 11:58;;;09-10-2014 12:11;;;;9;; ; ; 
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1830605;5I0189 - Industria o Edificio sin Corriente;Empalme Requiere Aumento De Capacidad;Cerrado;09-10-2014 11:46;09-10-2014 12:36;09-10-2014 12:16;09-10-2014 12:21;09-10-2014 12:21;09-10-2014 12:36;09-10-2014 12:58;;120;;30;49;Si;Si;No
LEONOR SOTO LTDA.;V5565;DOMICILIARIA EMERGENCIA;B1830606;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;09-10-2014 11:48;09-10-2014 12:07;09-10-2014 11:52;09-10-2014 11:53;09-10-2014 11:54;09-10-2014 12:07;09-10-2014 12:27;;100;;3;18;Si;Si;No
LEONOR SOTO LTDA.;V5541;SERVICIO DE EMERGENCIA RED;B1830607;3S0389 - Sector sin Corriente;Origen no determinado;Cerrado;09-10-2014 11:51;09-10-2014 12:10;09-10-2014 11:56;09-10-2014 11:57;09-10-2014 11:57;09-10-2014 12:12;09-10-2014 12:40;;120;;4;18;Si;Si;No
LEONOR SOTO LTDA.;V3602;SERVICIO DE EMERGENCIA RED;B1830608; - ;Falta de mantenimiento;Cerrado;09-10-2014 11:55;09-10-2014 12:35;09-10-2014 11:56;09-10-2014 12:18;09-10-2014 12:33;09-10-2014 12:43;09-10-2014 12:53;;;;1;40;No;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1830609;5D0236 - Domicilio Exceso / Bajo Voltaje;Operacion (maniobra) media tension;Cerrado;09-10-2014 11:38;09-10-2014 12:12;09-10-2014 11:57;09-10-2014 11:58;09-10-2014 11:59;09-10-2014 12:12;09-10-2014 12:53;;120;;19;33;Si;Si;No
Leonor Soto;V5533;SERVICIO DE EMERGENCIA RED;B1830610;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;09-10-2014 12:00;09-10-2014 13:05;09-10-2014 12:13;09-10-2014 13:06;09-10-2014 13:09;09-10-2014 13:25;09-10-2014 13:43;;100;;13;64;Si;Si;No
Leonor Soto;V3620;DOMICILIARIA EMERGENCIA;B1830611;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;09-10-2014 12:01;09-10-2014 12:57;09-10-2014 12:42;09-10-2014 12:43;09-10-2014 12:44;09-10-2014 12:57;09-10-2014 13:40;;120;;40;55;Si;Si;No
CAM;V4035;DOMICILIARIA EMERGENCIA;B1830612;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;09-10-2014 12:04;09-10-2014 14:00;09-10-2014 12:51;09-10-2014 12:53;09-10-2014 12:55;09-10-2014 14:11;09-10-2014 14:38;;120;;47;115;Si;Si;No
CAM;V4032;DOMICILIARIA EMERGENCIA;B1830613;5A0117 - Acometidas en Corto Circuito / medidor e;Volantines;Cerrado;09-10-2014 12:08;09-10-2014 13:27;09-10-2014 12:35;09-10-2014 12:48;09-10-2014 13:26;09-10-2014 13:27;09-10-2014 14:40;;100;;26;78;Si;Si;No
Empresa Azeta;V5564;DOMICILIARIA EMERGENCIA;B1830614;5P2592 - Protecci¢n de empalme suelto, trabado;Falta de mantenimiento;Cerrado;09-10-2014 12:10;09-10-2014 12:28;09-10-2014 12:14;09-10-2014 12:15;09-10-2014 12:27;09-10-2014 12:28;09-10-2014 12:59;;120;;3;17;Si;Si;No
CAM;V4654;SERVICIO DE EMERGENCIA RED;B1830615;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;09-10-2014 12:10;09-10-2014 13:50;09-10-2014 13:28;09-10-2014 13:29;09-10-2014 13:30;09-10-2014 14:19;09-10-2014 14:23;;120;;78;100;Si;Si;No
CAM;V4605;SERVICIO DE EMERGENCIA RED;B1830616;5A0116 - Acometidas Cortadas;Cliente efectua poda propia indebida;Cerrado;09-10-2014 12:11;09-10-2014 12:40;09-10-2014 12:18;09-10-2014 12:19;;09-10-2014 12:40;09-10-2014 13:04;;45;;7;29;Si;Si;No
LEONOR SOTO LTDA.;V3621;DOMICILIARIA EMERGENCIA;B1830617;3L0216 - L¡neas cortadas;Vehiculo >4.50 m. de altura bota cable d;Cerrado;09-10-2014 12:11;09-10-2014 12:45;09-10-2014 12:17;09-10-2014 12:22;09-10-2014 12:22;09-10-2014 13:02;09-10-2014 13:35;;45;;5;33;Si;Si;No
CAM;V4656;SERVICIO DE EMERGENCIA RED;B1830618;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;09-10-2014 12:14;09-10-2014 12:53;09-10-2014 12:25;09-10-2014 12:26;09-10-2014 12:27;09-10-2014 12:53;09-10-2014 13:31;;120;;11;38;Si;Si;No
LEONOR SOTO LTDA.;V3621;DOMICILIARIA EMERGENCIA;B1830619;5D0236 - Domicilio Exceso / Bajo Voltaje;Envejecimiento de materiales;Cerrado;09-10-2014 12:18;09-10-2014 13:26;09-10-2014 12:24;09-10-2014 12:26;09-10-2014 13:26;09-10-2014 13:26;09-10-2014 13:55;;120;;6;67;Si;Si;No
CAM;V4608;DOMICILIARIA EMERGENCIA;B1830620;5A0116 - Acometidas Cortadas;Otros instalacion de cliente;Cerrado;09-10-2014 12:23;09-10-2014 13:00;09-10-2014 12:29;09-10-2014 12:46;09-10-2014 13:47;;09-10-2014 14:15;;45;;6;6;Si;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1830621;5D0289 - Domicilio sin Corriente;Mantenimiento preventivo;Cerrado;09-10-2014 12:25;09-10-2014 13:10;09-10-2014 12:53;09-10-2014 12:55;09-10-2014 12:57;09-10-2014 13:27;09-10-2014 13:45;;120;;28;45;Si;Si;No
CAM;V4041;DOMICILIARIA EMERGENCIA;B1830622;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;09-10-2014 12:28;09-10-2014 13:24;09-10-2014 12:55;09-10-2014 12:56;09-10-2014 13:07;09-10-2014 13:24;09-10-2014 14:15;;120;;27;55;Si;Si;No
ELS;V5540;SERVICIO DE EMERGENCIA RED;B1830623;5D0289 - Domicilio sin Corriente;Operacion (maniobra) media tension;Cerrado;09-10-2014 12:45;09-10-2014 12:55;09-10-2014 12:37;09-10-2014 12:58;09-10-2014 13:04;09-10-2014 13:04;09-10-2014 14:19;;120;;-7;9;Si;Si;No
ELS;V3624;SERVICIO DE EMERGENCIA RED;B1830624;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;09-10-2014 12:32;09-10-2014 12:49;09-10-2014 12:35;09-10-2014 12:37;09-10-2014 12:38;09-10-2014 12:49;09-10-2014 13:08;;120;;3;16;Si;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1830625;5D0249 - Domicilio  intermitente ;Envejecimiento de materiales;Cerrado;09-10-2014 12:33;09-10-2014 13:49;09-10-2014 12:53;09-10-2014 12:55;09-10-2014 13:41;09-10-2014 13:49;09-10-2014 14:11;;120;;20;75;Si;Si;No
LEONOR SOTO LTDA.;V5541;SERVICIO DE EMERGENCIA RED;B1830626;5I0189 - Industria o Edificio sin Corriente;Mantenimiento preventivo;Cerrado;09-10-2014 12:34;09-10-2014 12:57;09-10-2014 12:39;09-10-2014 12:40;09-10-2014 12:41;09-10-2014 12:58;09-10-2014 13:20;;120;;5;22;Si;Si;No
ELS SA;V3606;SERVICIO DE EMERGENCIA RED;B1830627;5I0189 - Industria o Edificio sin Corriente;Otros instalacion de cliente;Cerrado;09-10-2014 12:36;09-10-2014 13:08;09-10-2014 12:39;09-10-2014 12:41;09-10-2014 12:48;09-10-2014 13:08;09-10-2014 13:48;;120;;3;31;Si;Si;No
CAM;V4035;DOMICILIARIA EMERGENCIA;B1830628;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;09-10-2014 12:39;09-10-2014 13:33;09-10-2014 12:51;09-10-2014 12:52;09-10-2014 12:55;09-10-2014 13:33;09-10-2014 13:59;;120;;12;53;Si;Si;No
LEONOR SOTO LTDA.;V5565;DOMICILIARIA EMERGENCIA;B1830629;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;09-10-2014 12:47;09-10-2014 13:03;09-10-2014 13:00;09-10-2014 13:01;09-10-2014 13:03;09-10-2014 13:26;09-10-2014 13:39;;100;;13;15;Si;Si;No
Emp. Electrica Colina;C0001;SERVICIO DE EMERGENCIA RED;B1830631; - ;Corte de suministro errado o improcedent;Cerrado;09-10-2014 12:48;09-10-2014 13:10;09-10-2014 12:50;;;;09-10-2014 13:54;;;;2;2;No;Si;No
Empresa Azeta;V5564;DOMICILIARIA EMERGENCIA;B1830633;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;09-10-2014 12:52;09-10-2014 14:37;09-10-2014 14:02;09-10-2014 14:03;09-10-2014 14:11;09-10-2014 14:37;09-10-2014 15:13;;100;;69;104;No;Si;No
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1830634;5D0289 - Domicilio sin Corriente;Corte de suministro errado o improcedent;Cerrado;09-10-2014 12:52;09-10-2014 13:16;09-10-2014 12:59;09-10-2014 13:01;09-10-2014 13:01;09-10-2014 13:16;09-10-2014 13:39;;120;;7;24;Si;Si;No
CAM;V4605;SERVICIO DE EMERGENCIA RED;B1830635;3L0226 - L¡nea o Acometida Destemplada;Corrosion;Cerrado;09-10-2014 12:53;09-10-2014 13:21;09-10-2014 13:04;09-10-2014 13:06;;09-10-2014 13:21;09-10-2014 13:55;;120;;11;27;Si;Si;No
LEONOR SOTO LTDA.;V5565;DOMICILIARIA EMERGENCIA;B1830636;3L0212 - L¡neas o Acometidas con ramas;Caida de gancho o rama;Cerrado;09-10-2014 12:53;09-10-2014 13:42;09-10-2014 13:00;09-10-2014 13:02;09-10-2014 13:03;09-10-2014 13:42;09-10-2014 14:06;;100;;6;48;Si;Si;No
LEONOR SOTO LTDA.;V5565;DOMICILIARIA EMERGENCIA;B1830637;5P2592 - Protecci¢n de empalme suelto, trabado;Falta de mantenimiento;Cerrado;09-10-2014 12:55;09-10-2014 14:07;09-10-2014 13:39;09-10-2014 13:40;09-10-2014 13:47;09-10-2014 14:07;09-10-2014 14:44;;120;;43;71;Si;Si;No
CAM;V4654;SERVICIO DE EMERGENCIA RED;B1830638;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;09-10-2014 12:55;09-10-2014 14:35;09-10-2014 13:13;09-10-2014 13:14;09-10-2014 13:14;09-10-2014 14:50;09-10-2014 14:58;;120;;18;100;Si;Si;No
LEONOR SOTO LTDA.;V3656;SERVICIO DE EMERGENCIA RED;B1830639;5I0189 - Industria o Edificio sin Corriente;Otros instalacion de cliente;Cerrado;09-10-2014 13:00;09-10-2014 13:29;09-10-2014 13:04;09-10-2014 13:09;09-10-2014 13:09;09-10-2014 13:29;09-10-2014 14:30;;120;;3;28;Si;Si;No
LEONOR SOTO LTDA.;V3615;DOMICILIARIA EMERGENCIA;B1830640;5P2592 - Protecci¢n de empalme suelto, trabado;Envejecimiento de materiales;Cerrado;09-10-2014 13:06;09-10-2014 15:37;09-10-2014 14:36;09-10-2014 15:10;09-10-2014 15:29;09-10-2014 15:37;09-10-2014 16:00;;120;;90;150;No;No;No
Leonor Soto;V3620;DOMICILIARIA EMERGENCIA;B1830641;5P2592 - Protecci¢n de empalme suelto, trabado;Envejecimiento de materiales;Cerrado;09-10-2014 13:12;09-10-2014 13:34;09-10-2014 13:16;09-10-2014 13:22;09-10-2014 13:28;09-10-2014 13:34;09-10-2014 14:15;;120;;4;21;Si;Si;No
LEONOR SOTO LTDA.;V3656;SERVICIO DE EMERGENCIA RED;B1830642;3L0212 - L¡neas o Acometidas con ramas;Sector sin podar o mal podado por parte ;Cerrado;09-10-2014 13:21;09-10-2014 14:20;09-10-2014 13:24;09-10-2014 13:25;09-10-2014 14:27;09-10-2014 14:27;09-10-2014 14:30;;100;;3;58;Si;Si;No
ELS SA;V3606;SERVICIO DE EMERGENCIA RED;B1830643;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falla de material;Cerrado;09-10-2014 13:24;09-10-2014 14:03;09-10-2014 13:35;09-10-2014 13:43;09-10-2014 13:44;09-10-2014 14:34;09-10-2014 15:31;;100;;10;38;Si;Si;No
LEONOR SOTO LTDA.;V3602;SERVICIO DE EMERGENCIA RED;B1830644;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;09-10-2014 13:33;09-10-2014 15:13;09-10-2014 14:41;09-10-2014 15:12;09-10-2014 15:12;09-10-2014 15:13;09-10-2014 15:23;;100;;68;99;Si;Si;No
ELS SA;V3606;SERVICIO DE EMERGENCIA RED;B1830645;5I0189 - Industria o Edificio sin Corriente;Otros instalacion de cliente;Cerrado;09-10-2014 13:37;09-10-2014 15:17;09-10-2014 13:46;09-10-2014 13:47;09-10-2014 14:46;09-10-2014 15:06;09-10-2014 15:27;;120;;9;88;Si;Si;No
Empresa Azeta;V5564;DOMICILIARIA EMERGENCIA;B1830646;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;09-10-2014 13:38;09-10-2014 15:00;09-10-2014 14:02;09-10-2014 14:03;09-10-2014 14:49;09-10-2014 15:03;09-10-2014 15:11;;120;;24;81;Si;Si;No
ELS;V5542;SERVICIO DE EMERGENCIA RED;B1830647;3P1611 - Postes Chocados;Choque de vehiculo a tirante;Cerrado;09-10-2014 13:42;09-10-2014 14:03;09-10-2014 13:49;09-10-2014 13:49;09-10-2014 13:58;09-10-2014 14:04;09-10-2014 14:43;;45;;6;20;Si;Si;No
CAM;V4040;DOMICILIARIA EMERGENCIA;B1830648;5D0289 - Domicilio sin Corriente;Mantenimiento preventivo;Cerrado;09-10-2014 13:48;09-10-2014 15:51;09-10-2014 14:59;09-10-2014 15:30;09-10-2014 15:32;09-10-2014 15:51;09-10-2014 16:17;;120;;71;123;No;No;No
CAM;V4032;DOMICILIARIA EMERGENCIA;B1830649; - ;;Anulado;09-10-2014 13:49;;09-10-2014 15:08;09-10-2014 15:10;09-10-2014 15:12;;09-10-2014 15:17;;;;79;; ; ; 
LEONOR SOTO LTDA.;V3656;SERVICIO DE EMERGENCIA RED;B1830650;3P1648 - Poste inclinado, socavado, estructura a ;Origen no determinado;Cerrado;09-10-2014 13:47;09-10-2014 14:48;09-10-2014 14:31;09-10-2014 14:32;09-10-2014 14:36;09-10-2014 14:48;09-10-2014 15:09;;100;;44;60;Si;Si;No
CAM;V4035;DOMICILIARIA EMERGENCIA;B1830651; - ;;Anulado;09-10-2014 13:49;;09-10-2014 15:11;09-10-2014 15:19;;;09-10-2014 15:19;;;;81;; ; ; 
LEONOR SOTO LTDA.;V5565;DOMICILIARIA EMERGENCIA;B1830652;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;09-10-2014 13:55;09-10-2014 14:53;09-10-2014 14:07;09-10-2014 14:21;09-10-2014 14:21;09-10-2014 14:53;09-10-2014 15:18;;120;;12;57;Si;Si;No
CAM;V4036;DOMICILIARIA EMERGENCIA;B1830653;5A0116 - Acometidas Cortadas;Origen no determinado;Cerrado;09-10-2014 13:54;09-10-2014 14:30;09-10-2014 14:07;;09-10-2014 14:08;09-10-2014 14:36;09-10-2014 16:15;;45;;13;36;Si;Si;No
Leonor Soto;V5533;SERVICIO DE EMERGENCIA RED;B1830654;5D0249 - Domicilio  intermitente ;Otros instalacion de cliente;Cerrado;09-10-2014 13:59;09-10-2014 14:35;09-10-2014 14:13;09-10-2014 14:15;09-10-2014 14:15;09-10-2014 14:35;09-10-2014 14:48;;120;;14;35;Si;Si;No
CAM;V4010;MOTO PRIORIDAD 1;B1830655;5D0289 - Domicilio sin Corriente;Otros corte y reposicion;Cerrado;09-10-2014 14:09;09-10-2014 15:10;09-10-2014 14:24;;;;09-10-2014 15:34;;120;;15;15;Si;Si;No
Leonor Soto;V3620;DOMICILIARIA EMERGENCIA;B1830656;5D0289 - Domicilio sin Corriente;Mantenimiento preventivo;Cerrado;09-10-2014 14:09;09-10-2014 14:46;09-10-2014 14:15;09-10-2014 14:17;09-10-2014 14:18;09-10-2014 14:46;09-10-2014 14:58;;120;;6;36;Si;Si;No
E.L. Soto S.A..;V3640;SERVICIO DE EMERGENCIA RED;B1830657;5D0236 - Domicilio Exceso / Bajo Voltaje;Falta de mantenimiento;Cerrado;09-10-2014 14:10;09-10-2014 15:15;09-10-2014 14:39;09-10-2014 14:40;09-10-2014 14:46;09-10-2014 15:11;09-10-2014 15:48;;120;;29;60;Si;Si;No
E.L. Soto S.A..;V3640;SERVICIO DE EMERGENCIA RED;B1830658;5D0249 - Domicilio  intermitente ;Falta de mantenimiento;Cerrado;09-10-2014 14:12;09-10-2014 15:35;09-10-2014 14:39;09-10-2014 14:41;09-10-2014 14:53;09-10-2014 15:59;09-10-2014 16:08;;120;;27;82;Si;Si;No
CAM;V4656;SERVICIO DE EMERGENCIA RED;B1830659;3S0389 - Sector sin Corriente;Falla de artefacto electrico;Cerrado;09-10-2014 14:16;09-10-2014 15:53;09-10-2014 15:12;09-10-2014 15:23;09-10-2014 15:24;09-10-2014 15:53;09-10-2014 17:50;;120;;56;97;Si;Si;No
ELS;V5542;SERVICIO DE EMERGENCIA RED;B1830660;3L0226 - L¡nea o Acometida Destemplada;Cable de comunicaciones a baja altura;Cerrado;09-10-2014 14:17;09-10-2014 14:45;09-10-2014 14:43;09-10-2014 14:44;09-10-2014 14:45;;09-10-2014 16:22;;120;;25;25;Si;Si;No
Leonor Soto;V3620;DOMICILIARIA EMERGENCIA;B1830661;5P2592 - Protecci¢n de empalme suelto, trabado;Mantenimiento preventivo;Cerrado;09-10-2014 14:18;09-10-2014 14:55;09-10-2014 14:26;09-10-2014 14:28;09-10-2014 14:50;09-10-2014 14:55;09-10-2014 15:08;;120;;7;36;Si;Si;No
ELS SA;V3606;SERVICIO DE EMERGENCIA RED;B1830662;5C0725 - Caja de empalme desprendida ;Falla por contacto personal;Cerrado;09-10-2014 14:19;09-10-2014 16:59;09-10-2014 16:29;09-10-2014 16:30;09-10-2014 16:31;09-10-2014 16:59;09-10-2014 17:27;;120;;129;159;No;No;No
ELS SA;V5534;SERVICIO DE EMERGENCIA RED;B1830663;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;09-10-2014 14:20;09-10-2014 15:45;09-10-2014 15:08;09-10-2014 15:14;09-10-2014 15:15;09-10-2014 15:45;09-10-2014 15:55;;120;;47;84;Si;Si;No
ELS s.a.;V5541;SERVICIO DE EMERGENCIA RED;B1830664;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;09-10-2014 14:30;09-10-2014 16:45;09-10-2014 16:09;09-10-2014 16:19;09-10-2014 16:24;09-10-2014 17:01;09-10-2014 17:10;;120;;98;134;No;No;No
E. E. Colina;R0101;Reparaci¢n Domiciliaria de Urgencia;B1830665; - ;;Cancelado;09-10-2014 14:32;;09-10-2014 14:32;;;;09-10-2014 14:43;;;;0;; ; ; 
